filename,size_a,size_b,abs_size_diff,rel_size_diff,rows_a,rows_b,abs_row_diff,chars_a,chars_b,abs_chars_diff,rel_chars_diff,similarity_ratio,normalized_similarity_ratio,flag_abs_size,flag_rel_size,flag_row_diff,flag_similarity,flag_norm_similarity,is_outlier
PO 4647325819.csv,167,163,4,0.025,1,1,0,159,155,4,0.026,1.000,1.000,0,0,0,0,0,0
PO 4647326909.csv,340,340,0,0.000,2,2,0,326,326,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647327521.csv,479,482,3,0.006,3,3,0,458,461,3,0.007,1.000,1.000,0,0,0,0,0,0
PO 4647328382.csv,182,181,1,0.006,1,1,0,174,173,1,0.006,1.000,1.000,0,0,0,0,0,0
PO 4647328559.csv,476,477,1,0.002,3,3,0,456,457,1,0.002,1.000,1.000,0,0,0,0,0,0
PO 4647330774.csv,683,683,0,0.000,4,4,0,657,657,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647331290.csv,173,173,0,0.000,1,1,0,165,165,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647331291.csv,172,172,0,0.000,1,1,0,164,164,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647331292.csv,163,163,0,0.000,1,1,0,157,157,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647331499.csv,372,373,1,0.003,2,2,0,360,361,1,0.003,1.000,1.000,0,0,0,0,0,0
PO 4647333357.csv,155,155,0,0.000,1,1,0,149,149,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647333358.csv,957,957,0,0.000,6,6,0,919,919,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647334067.csv,710,710,0,0.000,4,4,0,684,684,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647401300.csv,172,173,1,0.006,1,1,0,166,167,1,0.006,1.000,1.000,0,0,0,0,0,0
PO 4647401732.csv,883,883,0,0.000,5,5,0,851,851,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647402209.csv,145,146,1,0.007,1,1,0,137,138,1,0.007,1.000,1.000,0,0,0,0,0,0
PO 4647402210.csv,293,293,0,0.000,2,2,0,279,279,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647402359.csv,495,495,0,0.000,3,3,0,474,474,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647403061.csv,335,336,1,0.003,2,2,0,321,322,1,0.003,1.000,1.000,0,0,0,0,0,0
PO 4647403845.csv,366,366,0,0.000,2,2,0,352,352,0,0.000,1.000,1.000,0,0,0,0,0,0
PO 4647404827.csv,167,171,4,0.023,1,1,0,160,164,4,0.024,1.000,1.000,0,0,0,0,0,0
